,State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Pollution Index
2,Alabama,2013,12.065634967741929,12.098838709677423,0.750311306451613,211.00688709677428,235.92167208064524
3,Alabama,2014,9.411745809286877,24.660149253731362,1.1865171293532364,205.92147014925288,241.17988234162436
4,Alabama,2015,9.07858020666667,23.999966666666726,1.0094290199999982,221.02667999999989,255.1146558933333
5,Alabama,2016,9.524873194630876,28.34774496644293,0.8351175503355704,209.51413758389285,248.22187329530223
6,Alaska,2014,11.658509608938544,10.306575418994406,5.951531268156425,455.4438687150833,483.36048501117267
7,Alaska,2015,11.116588599364084,14.217632750397495,6.159010971383146,405.22124642289253,436.71447874403725
8,Arizona,2000,26.4875015898749,23.655243458475475,2.303225737485779,745.7559050056874,798.2018757915235
9,Arizona,2001,22.744723428650186,21.62845234159781,1.6666013479338941,649.4715399449045,695.5113170630864
10,Arizona,2002,23.66505389030465,22.803118005540227,1.8739165972299237,705.9283905817193,754.2704790747941
11,Arizona,2003,23.101151234109473,22.50849087476407,1.7997748955317772,632.0114373820024,679.4208543864078
12,Arizona,2004,20.134377321929353,22.614381940549553,1.6263508345485067,509.96003028603366,554.3351403830611
13,Arizona,2005,21.36010921302395,23.73842777970206,1.8447992755455445,618.0882324211989,665.0315686894704
14,Arizona,2006,20.83468996254551,25.204010938018037,1.6886411234670213,555.6812651640682,603.4086071880988
15,Arizona,2007,19.33019939116848,24.247443141852223,1.5204083163345092,508.5927811645153,553.6908320138705
16,Arizona,2008,18.250667084563233,25.574177901874727,1.4573806352213832,425.3625616274476,470.6447872491069
17,Arizona,2009,17.156288054842513,25.385165694282424,1.1760773072734434,422.9032220925722,466.6207531489706
18,Arizona,2010,15.916711955832406,25.903456398640895,1.0470331247640592,365.1679909399791,408.03519241921646
19,Arizona,2011,16.615336006730196,26.812975883342578,0.7759248839035352,343.42516993830316,387.6294067122795
20,Arizona,2012,17.831803367357796,26.512629984050996,0.9130017448165904,342.5981073896855,387.85554248591086
21,Arizona,2013,15.479527667006144,27.97265885947041,0.7163671771894103,320.8922123217884,365.06076602545437
22,Arizona,2014,16.112343223624414,26.559032306915622,0.9237102094901574,405.2679432104998,448.86302895053
23,Arizona,2015,12.704995142294454,28.14385081240763,0.5848484662727682,355.64492959133537,397.07862401231023
24,Arizona,2016,15.811195011764726,22.13734705882358,0.39592719117647024,468.28980588235237,506.63427514411717
25,Arkansas,2007,10.781744733516485,24.740642857142863,3.1604945961538498,589.0610879120879,627.7439700989012
26,Arkansas,2008,8.991394928961755,24.88974043715845,1.7602098210382515,443.4350423497267,479.07638753688514
27,Arkansas,2009,9.14633706027397,24.487189041095967,1.7323654520547942,423.2853123287671,458.6512038821918
28,Arkansas,2010,10.004748837499944,27.649920138888614,1.2924943253472232,454.63375972222155,493.5809230239573
29,Arkansas,2011,9.98213381095891,27.46128219178089,1.365532535616438,447.12672465753235,485.93567319588857
30,Arkansas,2012,10.568827552289793,27.883923444976098,1.3046150054682102,467.3621572112126,507.1195232139467
31,Arkansas,2013,9.791679257534282,25.57740821917801,1.2992415363013696,384.4125212328744,421.08085024588803
32,Arkansas,2014,8.86205075616437,23.851506849315204,1.141635815753429,346.99206438356055,380.84725780479357
33,Arkansas,2015,8.61283287087911,24.334931318681285,1.1102464903846148,306.02255769230777,340.0805683722528
34,Arkansas,2016,8.661112791208799,26.00959340659338,0.6637995109890118,322.07300549450525,357.40751120329645
35,California,2000,17.580989015234316,23.67472239149191,1.7210038055475587,644.4877458752366,687.4644610875104
36,California,2001,17.76082217022577,24.844303941323666,1.8136710187528196,622.1486183606075,666.5674154909098
37,California,2002,16.755127907428733,26.342203739853964,1.625931129250981,601.7906458697225,646.5139086462563
38,California,2003,15.794641777253213,25.647639698301713,1.495033444598184,575.3787833848628,618.3160983050159
39,California,2004,15.151140976660171,25.978691258689263,1.8278402307054915,517.947119656862,560.9047921229169
40,California,2005,13.965664211497598,25.11942063080237,1.65303376731241,459.535088594836,500.2732072044484
41,California,2006,14.016458760277258,26.27356637504775,1.3833036514029582,444.4205270211021,486.09385580783004
42,California,2007,13.076023342493592,26.670198052911886,1.2164233821363641,416.0350642916818,456.9977090692237
43,California,2008,12.97735773573428,26.976376492373205,1.0952821892695104,390.69309380634917,431.7421102237262
44,California,2009,12.873185457535039,26.156712549019343,1.0069486883473133,394.01494882353734,434.051795518439
45,California,2010,12.247269078098636,25.668665222623233,0.7208656165764081,344.7467770156543,383.38357693295256
46,California,2011,12.282851511251994,26.144162826749675,0.7093256436627976,360.517009889369,399.65334987103347
47,California,2012,11.071265311824607,26.872414714095097,0.600589553963815,336.9246061066023,375.46887568648583
48,California,2013,11.761860724790708,26.072653657175128,0.4755547519821278,355.1291647962113,393.4392339301593
49,California,2014,10.883953002053492,26.956880126738028,0.4919950374640483,344.46319368657214,382.7960218528277
