,,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
,,mean,mean,mean,mean
State,Year,,,,
Alabama,2013,12.065634967741929,0.012098838709677423,0.750311306451613,0.2110068870967743
Alabama,2014,9.411745809286877,0.02466014925373136,1.1865171293532364,0.20592147014925288
Alabama,2015,9.07858020666667,0.023999966666666726,1.0094290199999982,0.2210266799999999
Alabama,2016,9.524873194630876,0.02834774496644293,0.8351175503355704,0.20951413758389284
Alaska,2014,11.658509608938544,0.010306575418994405,5.951531268156425,0.4554438687150833
Alaska,2015,11.116588599364084,0.014217632750397495,6.159010971383146,0.40522124642289253
Arizona,2000,26.4875015898749,0.023655243458475476,2.303225737485779,0.7457559050056874
Arizona,2001,22.744723428650186,0.021628452341597812,1.6666013479338941,0.6494715399449045
Arizona,2002,23.66505389030465,0.02280311800554023,1.8739165972299237,0.7059283905817193
Arizona,2003,23.101151234109473,0.022508490874764073,1.7997748955317772,0.6320114373820025
Arizona,2004,20.134377321929353,0.022614381940549554,1.6263508345485067,0.5099600302860336
Arizona,2005,21.36010921302395,0.02373842777970206,1.8447992755455445,0.6180882324211989
Arizona,2006,20.83468996254551,0.025204010938018037,1.6886411234670213,0.5556812651640682
Arizona,2007,19.33019939116848,0.02424744314185222,1.5204083163345092,0.5085927811645153
Arizona,2008,18.250667084563233,0.025574177901874728,1.4573806352213832,0.42536256162744757
Arizona,2009,17.156288054842513,0.025385165694282424,1.1760773072734434,0.4229032220925722
Arizona,2010,15.916711955832406,0.025903456398640896,1.0470331247640592,0.3651679909399791
Arizona,2011,16.615336006730196,0.02681297588334258,0.7759248839035352,0.34342516993830313
Arizona,2012,17.831803367357796,0.026512629984050996,0.9130017448165904,0.3425981073896855
Arizona,2013,15.479527667006144,0.02797265885947041,0.7163671771894103,0.3208922123217884
Arizona,2014,16.112343223624414,0.02655903230691562,0.9237102094901574,0.4052679432104998
Arizona,2015,12.704995142294454,0.028143850812407632,0.5848484662727682,0.35564492959133537
Arizona,2016,15.811195011764726,0.02213734705882358,0.39592719117647024,0.46828980588235236
Arkansas,2007,10.781744733516485,0.024740642857142864,3.1604945961538498,0.5890610879120879
Arkansas,2008,8.991394928961755,0.024889740437158452,1.7602098210382515,0.4434350423497267
Arkansas,2009,9.14633706027397,0.024487189041095966,1.7323654520547942,0.4232853123287671
Arkansas,2010,10.004748837499944,0.027649920138888614,1.2924943253472232,0.45463375972222153
Arkansas,2011,9.98213381095891,0.02746128219178089,1.365532535616438,0.44712672465753234
Arkansas,2012,10.568827552289793,0.0278839234449761,1.3046150054682102,0.4673621572112126
Arkansas,2013,9.791679257534282,0.025577408219178012,1.2992415363013696,0.3844125212328744
Arkansas,2014,8.86205075616437,0.023851506849315203,1.141635815753429,0.34699206438356056
Arkansas,2015,8.61283287087911,0.024334931318681283,1.1102464903846148,0.3060225576923078
Arkansas,2016,8.661112791208799,0.026009593406593378,0.6637995109890118,0.32207300549450524
California,2000,17.580989015234316,0.023674722391491907,1.7210038055475587,0.6444877458752366
California,2001,17.76082217022577,0.024844303941323666,1.8136710187528196,0.6221486183606075
California,2002,16.755127907428733,0.026342203739853964,1.625931129250981,0.6017906458697225
California,2003,15.794641777253213,0.02564763969830171,1.495033444598184,0.5753787833848628
California,2004,15.151140976660171,0.025978691258689263,1.8278402307054915,0.517947119656862
California,2005,13.965664211497598,0.02511942063080237,1.65303376731241,0.459535088594836
California,2006,14.016458760277258,0.02627356637504775,1.3833036514029582,0.4444205270211021
California,2007,13.076023342493592,0.026670198052911886,1.2164233821363641,0.4160350642916818
California,2008,12.97735773573428,0.026976376492373205,1.0952821892695104,0.39069309380634915
California,2009,12.873185457535039,0.026156712549019343,1.0069486883473133,0.3940149488235373
California,2010,12.247269078098636,0.025668665222623233,0.7208656165764081,0.34474677701565426
California,2011,12.282851511251994,0.026144162826749674,0.7093256436627976,0.36051700988936897
California,2012,11.071265311824607,0.026872414714095096,0.600589553963815,0.3369246061066023
California,2013,11.761860724790708,0.026072653657175128,0.4755547519821278,0.35512916479621126
California,2014,10.883953002053492,0.02695688012673803,0.4919950374640483,0.34446319368657213
California,2015,10.269061512879755,0.02755119085317573,0.4586483399001213,0.33313140009744735
California,2016,8.101743924363591,0.025300942909090893,0.6012758643636374,0.36043597018181706
Colorado,2000,14.90246898904114,0.01706601643835616,2.1380578726027406,0.6113879547945195
Colorado,2001,25.78340071651082,0.016376249221183827,2.4376980186915893,0.6275631869158875
Colorado,2002,19.769313209944677,0.020604186003683182,2.2467810911602215,0.49926212154696176
Colorado,2003,21.073078467874765,0.01941373476112027,1.9633121663920954,0.5496916886326184
Colorado,2004,21.64520825072887,0.01720207288629745,1.8985486778425675,0.6168473294460645
Colorado,2005,24.17658178731699,0.018818469268292778,1.930438374634143,0.6175001887804884
Colorado,2006,24.644735138629244,0.020494109034267887,2.0845535038940817,0.5716930319314657
Colorado,2007,23.835024832137712,0.02169165853658542,1.9193284670014295,0.5494412539454796
Colorado,2008,19.080972470910375,0.02560883025325131,1.860228203969885,0.40550120328542166
Colorado,2009,14.230846937499981,0.026782818749999916,1.37065658125,0.3553863062499992
Colorado,2010,16.171137841981164,0.02295454952830189,1.0280904292452844,0.3656964410377362
Colorado,2011,17.526490973312406,0.02784538775510203,1.4074937598116153,0.3329829733124021
Colorado,2012,20.320903629032216,0.026317186950146516,1.3363450868768325,0.3705979065249274
Colorado,2013,14.342691029523749,0.02870908857142869,1.0601894347619039,0.3070368166666653
Colorado,2014,16.904157374855476,0.02725939865957939,0.942433379015481,0.31847267529465995
Colorado,2015,20.03914544487049,0.02445096596356662,1.0342656627516797,0.3897590685522526
Colorado,2016,23.6238202862453,0.020989141263940556,1.0044201747211907,0.4515239535315982
Connecticut,2006,17.444166465116286,0.02608601744186048,3.1960970348837163,0.4777570348837203
Connecticut,2007,12.61999465427514,0.029019812267657968,1.7516646802973987,0.3156575752788091
Connecticut,2008,10.542381460301486,0.02608435879396989,1.249225908542713,0.34389121306532666
Connecticut,2009,10.860680024156354,0.023763089165186376,1.4085442401420964,0.31364586500888375
Connecticut,2010,9.739028127340847,0.027474275905118757,0.9496234843945063,0.2799570967540603
Connecticut,2011,8.533361105362191,0.02897121872060223,0.9024359614299169,0.2212534435559754
Connecticut,2012,7.276309031775712,0.030193727102803797,0.6422347060747678,0.21340810654205838
Connecticut,2013,7.411335839067684,0.03119489900110995,0.5516750998890133,0.20313938845727034
Connecticut,2014,7.237452216247146,0.030385449656750472,0.5732451773455378,0.20223465160183132
Connecticut,2015,8.045103610660497,0.031103356894554113,0.3656384501738124,0.21542820741599128
